# Time	KE	PE	Total
1.550000	4.050000e-03	4.500000e-02	4.905000e-02
1.560000	5.000000e-03	4.500000e-02	5.000000e-02
1.570000	5.000000e-03	4.500000e-02	5.000000e-02
1.580000	5.000000e-03	4.500000e-02	5.000000e-02
1.590000	5.000000e-03	4.500000e-02	5.000000e-02
1.600000	6.050000e-03	4.500000e-02	5.105000e-02
1.610000	6.050000e-03	4.500000e-02	5.105000e-02
1.620000	6.050000e-03	4.205000e-02	4.810000e-02
1.630000	7.200000e-03	4.205000e-02	4.925000e-02
1.640000	7.200000e-03	4.205000e-02	4.925000e-02
1.650000	7.200000e-03	4.205000e-02	4.925000e-02
1.660000	7.200000e-03	4.205000e-02	4.925000e-02
1.670000	8.450000e-03	4.205000e-02	5.050000e-02
1.680000	8.450000e-03	4.205000e-02	5.050000e-02
1.690000	8.450000e-03	4.205000e-02	5.050000e-02
1.700000	9.800000e-03	3.920000e-02	4.900000e-02
1.710000	9.800000e-03	3.920000e-02	4.900000e-02
1.720000	9.800000e-03	3.920000e-02	4.900000e-02
1.730000	9.800000e-03	3.920000e-02	4.900000e-02
1.740000	1.125000e-02	3.920000e-02	5.045000e-02
1.750000	1.125000e-02	3.920000e-02	5.045000e-02
1.760000	1.125000e-02	3.920000e-02	5.045000e-02
1.770000	1.280000e-02	3.645000e-02	4.925000e-02
1.780000	1.280000e-02	3.645000e-02	4.925000e-02
1.790000	1.280000e-02	3.645000e-02	4.925000e-02
1.800000	1.280000e-02	3.645000e-02	4.925000e-02
1.810000	1.445000e-02	3.645000e-02	5.090000e-02
1.820000	1.445000e-02	3.645000e-02	5.090000e-02
1.830000	1.445000e-02	3.380000e-02	4.825000e-02
1.840000	1.445000e-02	3.380000e-02	4.825000e-02
1.850000	1.620000e-02	3.380000e-02	5.000000e-02
1.860000	1.620000e-02	3.380000e-02	5.000000e-02
1.870000	1.620000e-02	3.380000e-02	5.000000e-02
1.880000	1.805000e-02	3.125000e-02	4.930000e-02
1.890000	1.805000e-02	3.125000e-02	4.930000e-02
1.900000	1.805000e-02	3.125000e-02	4.930000e-02
1.910000	1.805000e-02	3.125000e-02	4.930000e-02
1.920000	2.000000e-02	3.125000e-02	5.125000e-02
1.930000	2.000000e-02	3.125000e-02	5.125000e-02
1.940000	2.000000e-02	2.880000e-02	4.880000e-02
1.950000	2.000000e-02	2.880000e-02	4.880000e-02
1.960000	2.000000e-02	2.880000e-02	4.880000e-02
1.970000	2.205000e-02	2.880000e-02	5.085000e-02
1.980000	2.205000e-02	2.645000e-02	4.850000e-02
1.990000	2.205000e-02	2.645000e-02	4.850000e-02
2.000000	2.205000e-02	2.645000e-02	4.850000e-02
2.010000	2.420000e-02	2.645000e-02	5.065000e-02
2.020000	2.420000e-02	2.645000e-02	5.065000e-02
2.030000	2.420000e-02	2.420000e-02	4.840000e-02
2.040000	2.420000e-02	2.420000e-02	4.840000e-02
2.050000	2.645000e-02	2.420000e-02	5.065000e-02
2.060000	2.645000e-02	2.420000e-02	5.065000e-02
2.070000	2.645000e-02	2.420000e-02	5.065000e-02
2.080000	2.645000e-02	2.205000e-02	4.850000e-02
2.090000	2.645000e-02	2.205000e-02	4.850000e-02
2.100000	2.880000e-02	2.205000e-02	5.085000e-02
2.110000	2.880000e-02	2.205000e-02	5.085000e-02
2.120000	2.880000e-02	2.000000e-02	4.880000e-02
2.130000	2.880000e-02	2.000000e-02	4.880000e-02
2.140000	2.880000e-02	2.000000e-02	4.880000e-02
2.150000	3.125000e-02	2.000000e-02	5.125000e-02
2.160000	3.125000e-02	1.805000e-02	4.930000e-02
2.170000	3.125000e-02	1.805000e-02	4.930000e-02
2.180000	3.125000e-02	1.805000e-02	4.930000e-02
2.190000	3.125000e-02	1.805000e-02	4.930000e-02
2.200000	3.380000e-02	1.620000e-02	5.000000e-02
2.210000	3.380000e-02	1.620000e-02	5.000000e-02
2.220000	3.380000e-02	1.620000e-02	5.000000e-02
2.230000	3.380000e-02	1.620000e-02	5.000000e-02
2.240000	3.380000e-02	1.445000e-02	4.825000e-02
2.250000	3.645000e-02	1.445000e-02	5.090000e-02
2.260000	3.645000e-02	1.445000e-02	5.090000e-02
2.270000	3.645000e-02	1.280000e-02	4.925000e-02
2.280000	3.645000e-02	1.280000e-02	4.925000e-02
2.290000	3.645000e-02	1.280000e-02	4.925000e-02
2.300000	3.645000e-02	1.280000e-02	4.925000e-02
2.310000	3.645000e-02	1.125000e-02	4.770000e-02
2.320000	3.920000e-02	1.125000e-02	5.045000e-02
2.330000	3.920000e-02	1.125000e-02	5.045000e-02
2.340000	3.920000e-02	1.125000e-02	5.045000e-02
2.350000	3.920000e-02	9.800000e-03	4.900000e-02
2.360000	3.920000e-02	9.800000e-03	4.900000e-02
2.370000	3.920000e-02	9.800000e-03	4.900000e-02
2.380000	4.205000e-02	8.450000e-03	5.050000e-02
2.390000	4.205000e-02	8.450000e-03	5.050000e-02
2.400000	4.205000e-02	8.450000e-03	5.050000e-02
2.410000	4.205000e-02	8.450000e-03	5.050000e-02
2.420000	4.205000e-02	7.200000e-03	4.925000e-02
2.430000	4.205000e-02	7.200000e-03	4.925000e-02
2.440000	4.205000e-02	7.200000e-03	4.925000e-02
2.450000	4.205000e-02	6.050000e-03	4.810000e-02
2.460000	4.500000e-02	6.050000e-03	5.105000e-02
2.470000	4.500000e-02	6.050000e-03	5.105000e-02
2.480000	4.500000e-02	6.050000e-03	5.105000e-02
2.490000	4.500000e-02	5.000000e-03	5.000000e-02
2.500000	4.500000e-02	5.000000e-03	5.000000e-02
2.510000	4.500000e-02	5.000000e-03	5.000000e-02
2.520000	4.500000e-02	4.050000e-03	4.905000e-02
2.530000	4.500000e-02	4.050000e-03	4.905000e-02
2.540000	4.500000e-02	4.050000e-03	4.905000e-02
2.550000	4.500000e-02	3.200000e-03	4.820000e-02
2.560000	4.500000e-02	3.200000e-03	4.820000e-02
2.570000	4.805000e-02	3.200000e-03	5.125000e-02
2.580000	4.805000e-02	2.450000e-03	5.050000e-02
2.590000	4.805000e-02	2.450000e-03	5.050000e-02
2.600000	4.805000e-02	2.450000e-03	5.050000e-02
2.610000	4.805000e-02	2.450000e-03	5.050000e-02
