time energy a1x a1y a1z a2x a2y a2z a3x a3y a3z
90.98 0.010603774527634573 -0.15010391525025102 -0.28278863735391535 -3.419524365118115e-05 0.24623276438243738 0.7996849197789226 0.00019321273969038306 0.9973301405958788 0.4774760548085789 0.0003950168045108648
90.99 0.01059989095023924 -0.15013322713677563 -0.2827458417814573 -3.4174854643845374e-05 0.24581300336770154 0.7997690837932281 0.00019312166737858174 0.997777770710748 0.4773478670268659 0.00039521308943833234
91.0 0.010595701021888585 -0.15015887341182832 -0.2826995326139131 -3.415300988682214e-05 0.24539127749581507 0.7998524317219176 0.00019302990988230182 0.9982236998832758 0.4772169815961132 0.00039540858234710964
91.01 0.010591204627529584 -0.15018085182133922 -0.2826497099276866 -3.4129708563108725e-05 0.24496759608677565 0.7999349603984252 0.00019293746964144922 0.9986679165393526 0.47708340175918307 0.0003956032798373989
91.02 0.010586401681852037 -0.15019916019681223 -0.28259637390223014 -3.410494989155915e-05 0.24454196849789725 0.8000166667120029 0.0001928443491141618 0.9991104091531275 0.4769471308061681 0.00039579717852801597
91.03 0.01058129212932246 -0.15021379645535438 -0.2825395248200264 -3.407873312678009e-05 0.2441144041234845 0.8000975476077493 0.00019275055077675731 0.999551166247363 0.47680817207434506 0.00039599027505639013
91.04 0.010575875944214537 -0.15022475859970225 -0.2824791630665675 -3.405105755935637e-05 0.24368491239450552 0.800177600086636 0.0001926560771236814 0.9999901763937883 0.47666652894812706 0.0003961825660787899
91.05 0.010570153130636008 -0.15023204471824558 -0.28241528913032965 -3.402192251571222e-05 0.24325350277826302 0.8002568212055317 0.000192560930667282 1.0004274282134522 0.47652220485901414 0.0003963740482704442
91.06 0.010564123722551994 -0.15023565298504768 -0.2823479036027452 -3.3991327358180636e-05 0.24282018477806402 0.8003352080772252 0.00019246511393787883 1.0008629103770736 0.47637520328554284 0.0003965647183255599
91.07000000000001 0.010557787783804872 -0.15023558165986273 -0.2822770071781709 -3.395927148505543e-05 0.24238496793288797 0.8004127578704456 0.00019236862948357253 1.001296611605391 0.47622552775323385 0.0003967545729573912
91.08 0.010551145408130552 -0.15023182908815041 -0.2822026006538529 -3.392575433062593e-05 0.24194786181705336 0.8004894678098805 0.00019227147987015787 1.0017285206695095 0.4760731818345386 0.0003969436088984823
91.09 0.010544196719171202 -0.15022439370108723 -0.28212468492988796 -3.389077536502085e-05 0.24150887603988289 0.8005653351761925 0.0001921736676810024 1.002158626391248 0.47591816914878443 0.0003971318229007716
91.10000000000001 0.010536941870484462 -0.15021327401557466 -0.28204326100918137 -3.3854334094312374e-05 0.2410680202453671 0.8006403573060338 0.0001920751955169944 1.002586917643484 0.4757604933621182 0.00039731921173566127
91.11 0.010529381045549189 -0.15019846863424519 -0.28195832999740184 -3.381643006049881e-05 0.24062530411182648 0.8007145315920581 0.00019197606599640404 1.0030133833504964 0.47560015818744816 0.00039750577219415566
91.12 0.010521514457767518 -0.1501799762454642 -0.28186989310293226 -3.377706284153929e-05 0.24018073735157217 0.8007878554829313 0.000191876281754762 1.003438012488307 0.4754371673843852 0.000397691501086931
91.13 0.010513342350463509 -0.1501577956233297 -0.28177795163681774 -3.37362320513364e-05 0.23973432971056535 0.8008603264833399 0.0001917758454448074 1.003860794085022 0.4752715247591817 0.00039787639524449135
91.14 0.010504864996878263 -0.15013192562766883 -0.2816825070127097 -3.36939373398403e-05 0.23928609096807496 0.8009319421539974 0.00019167475973627971 1.0042817172211682 0.4751032341646696 0.00039806045151711666
